id,source_doc,source_passage,claim_kk,claim_type,what_changed,ground_truth,gemini_label,deepseek_label,claude_label,kimi_label,qwen_label,correct?
001,leg_text01,"Қазақстан Республикасы – демократиялық, зайырлы, құқықтық және әлеуметтік мемлекет. Мемлекеттің ең жоғары құндылығы – адам мен оның өмірі, құқықтары мен бостандықтары.","Мемлекеттің ең жоғары құндылығы – адам мен оның өмірі, құқықтары мен бостандықтары.",real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
002,leg_text01,Қазақстан Республикасы – унитарлы мемлекет. Басқару үлгісі – президенттік республика.,Қазақстанда басқару үлгісі - монархия.,fake_entity,Басқару үлгісі – президенттік республика.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
003,leg_text01,Қазақстан Республикасының елордасы – Астана қаласы. Елорда мәртебесі конституциялық заңда айқындалады.,Қазақстан Республикасының елордасы – Астана қаласы.,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
004,leg_text01,"Қазақстан Республикасында мемлекеттік билік біртұтас, ол заң шығарушы, атқарушы, сот тармақтарына бөліну және өзара іс-қимыл жасау қағидатына сәйкес Конституция мен заңдар негізінде жүзеге асырылады.",Қазақстанда билік әдеби кітаптардың негізінде жүзеге асырылады.,fake_entity,Қазақстан Республикасында мемлекеттік билік Конституция мен заңдар негізінде жүзеге асырылады.,REFUTED,REFUTED,REFUTED,REFUTED,NOT_ENOUGH_INFO,REFUTED,
005,leg_text01,N/A,Қазақстанның бюджеті триллион долларға тең,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
006,leg_text01,"Қазақстан Республикасының мемлекеттік рәміздері – Мемлекеттік Ту, Мемлекеттік Елтаңба, Мемлекеттік Әнұран. Олардың сипаттамасы және пайдалану тәртібі конституциялық заңда белгіленеді.",Рәміздердің сипаттамасы және пайдалану тәртібі бөлек заңда бекітілген.,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,REFUTED,SUPPORTED,REFUTED,
007,leg_text01,Қазақстан Республикасының азаматында қос немесе көп азаматтығы болуына жол берілмейді. Өзге ел азаматтығының болуы Қазақстан Республикасының азаматтығын тоқтатуға негіз болады. Шет мемлекетте туғанына байланысты сол мемлекеттің азаматтығын алған кәмелетке толмаған балаға қатысты заңда көзделген ережелер қолданылады.,Қазақстан Республикасының азаматында үш немесе одан да көп азаматтығы болуына жол берілмейді.,fake_number,Қазақстан Республикасының азаматында қос немесе көп азаматтығы болуына жол берілмейді.,REFUTED,SUPPORTED,SUPPORTED,REFUTED,SUPPORTED,REFUTED,
008,leg_text01,"Қазақстан Республикасының халықаралық шарттарында өзгеше белгiленбесе, Қазақстан Республикасының азаматы шет мемлекетке берілмейді.","Қазақстан Республикасының азаматы шет мемлекетке берілмесе, халықаралық шарттарында өзгеше белгіленбейді.",fake_causal,"Қазақстан Республикасының халықаралық шарттарында өзгеше белгiленбесе, Қазақстан Республикасының азаматы шет мемлекетке берілмейді.",REFUTED,REFUTED,SUPPORTED,REFUTED,SUPPORTED,REFUTED,
009,leg_text01,N/A,Қазақстанның азаматтары екі немесе одан да көп спорт түрлерімен айналысуға міндетті.,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
010,leg_text01,"Қазақстан Республикасының Президентін Қазақстан Республикасының кәмелетке толған азаматтары конституциялық заңға сәйкес жалпыға бірдей, тең және төте сайлау құқығы негізінде жасырын дауыс беру арқылы жеті жыл мерзімге сайлайды.",ҚР Президенті он бес жылға сайланады.,fake_number,Президент жеті жыл мерзімге сайлайды.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
011,leg_text01,"Конституцияның 62-бабының 3-тармағында көзделген жағдайларды қоспағанда, Вице-Президентті тағайындауға келісім беруден қайта бас тартылған жағдайда Қазақстан Республикасының Президенті Құрылтайды таратуға құқылы",Вице-Президентті тағайындауға келісім бермесе Қазақстан Республикасының Президенті Жоғарғы сотты таратуға құқылы,fake_entity,Вице-Президентті тағайындауға келісім беруден қайта бас тартылған жағдайда Қазақстан Республикасының Президенті Құрылтайды таратуға құқылы,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
012,leg_text01,Қазақстан Республикасының Құрылтайы – заң шығару билігiн жүзеге асыратын Қазақстан Республикасының жоғары өкiлдi органы.,Қазақстанда заң шығару билігін Конституциялық Сот жүзеге асырады,fake_entity,Қазақстан Республикасының Құрылтайы – заң шығару билігiн жүзеге асыратын Қазақстан Республикасының жоғары өкiлдi органы.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
013,leg_text01,Құрылтайдың өкілеттігі оның бірінші сессиясы ашылған кезден басталады және жаңадан шақырылған Құрылтайдың бірінші сессиясының жұмысы басталған кезде аяқталады.,Құрылтайдың өкілеттігі оның екінші сессиясынан бастау алады,fake_number,Құрылтайдың өкілеттігі оның бірінші сессиясы ашылған кезден басталады,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
014,leg_text01,"Жиырма бес жасқа толған, Қазақстан Республикасының азаматтығы бар, оның аумағында соңғы он жыл бойы тұрақты тұрып жатқан адам Құрылтай депутаты бола алады.",Жиырма беске толған азамат Құрылтай депутаты болып сайлана алады,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
015,leg_text01,Құрылтайды мемлекеттік тілді жетік меңгерген депутаттар арасынан Құрылтай депутаттары жалпы санының көпшілік дауысымен жасырын дауыс беру арқылы сайланған Төраға басқарады. Құрылтай Төрағасының лауазымына кандидатураны Қазақстан Республикасының Президенті ұсынады. Құрылтай Төрағасын сайлаудан қайта бас тартқан жағдайда Қазақстан Республикасының Президенті Құрылтайды таратуға құқылы.,Құрылтай басшысы - Төраға.,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
016,leg_text01,Құрылтай қабылдаған заң он күн ішінде Қазақстан Республикасының Президентіне қол қоюға ұсынылады. Құрылтай заң жобасын депутаттардың жалпы санының көпшілік дауысымен тұтастай қабылдамай тастауға құқылы. Мұндай жағдайда заң жобасы қабылданбады деп саналады және бастамашыға қайтарылады.,Құрылтай қабылдаған заң он бір күн ішінде Президентке қол қоюға жолданады.,fake_number,Құрылтай қабылдаған заң он күн ішінде Қазақстан Республикасының Президентіне қол қоюға ұсынылады.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
017,leg_text01,"Үкімет енгізген заң жобасы қабылданбаса, Премьер-Министр Құрылтай отырысында Үкіметке сенім білдіру мәселесін қоюға құқылы.","Премьер-Министр Құрылтай отырысында Үкіметке сенім білдіру мәселесін қойса, Үкімет енгізген заң жобасы қабылданбауға құқылы.",fake_causal,"Үкімет енгізген заң жобасы қабылданбаса, Премьер-Министр Құрылтай отырысында Үкіметке сенім білдіру мәселесін қоюға құқылы.",REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
018,leg_text01,Құрылтай Қазақстан Республикасының бүкіл аумағында міндетті күші бар заң және қаулы қабылдайды. Заң Қазақстан Республикасының Президенті қол қойғаннан кейін күшіне енеді. Конституциялық заң Қазақстан Республикасының Конституциясында көзделген мәселелер бойынша Құрылтай депутаттары жалпы санының кемінде үштен екісінің дауысымен қабылданады.,Құрылтай Қазақстан Республикасының бүкіл аумағында міндетті күші бар заң және қаулы қабылдайды.,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
019,leg_text01,Конституциялық Сот Қазақстан Республикасы азаматтарының Конституцияда көзделген құқықтары мен бостандықтарына тікелей қатысты Қазақстан Республикасы нормативтік құқықтық актілерінің Конституцияға сәйкестігін олардың өтініштері бойынша қарайды.,Конституцияға сәйкестікті Конституциялық Сот қадағалайды,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
